timestamp;base_denom;ica_address;lp_denom;d_unlocked_shares;locked_shares;w_unlocked_shares;quote_denom
2023-03-24T13:44:21;uosmo;osmo1wpwl2m2kn9rnd40hhdn67hd2a2xql3jpnfhvwxtglvg5hga9tvcsp863sz;gamm/pool/1;0;115804364355216195704;0;ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2
2023-03-24T13:44:21;uosmo;osmo1a8asd9ha5nyd85cmn8x65qdhyajkwcacul45melh8s9ud8cvkhss3x9v4k;gamm/pool/678;0;3118671929075484819;0;ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858
2023-03-24T13:44:22;uosmo;osmo1e2w0zxfqvyeefyjhcvuzv2ecrvltuwddyc2qau54nesz3p0mu9sq4dsvwg;gamm/pool/704;0;1149664099190496103;0;ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5
2023-03-24T13:46:13;uosmo;osmo1wpwl2m2kn9rnd40hhdn67hd2a2xql3jpnfhvwxtglvg5hga9tvcsp863sz;gamm/pool/1;0;115804364355216195704;0;ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2
2023-03-24T13:46:13;uosmo;osmo1a8asd9ha5nyd85cmn8x65qdhyajkwcacul45melh8s9ud8cvkhss3x9v4k;gamm/pool/678;0;3118671929075484819;0;ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858
2023-03-24T13:46:13;uosmo;osmo1e2w0zxfqvyeefyjhcvuzv2ecrvltuwddyc2qau54nesz3p0mu9sq4dsvwg;gamm/pool/704;0;1149664099190496103;0;ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5
2023-03-24T13:46:14;uosmo;osmo1wpwl2m2kn9rnd40hhdn67hd2a2xql3jpnfhvwxtglvg5hga9tvcsp863sz;gamm/pool/1;0;115804364355216195704;0;ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2
2023-03-24T13:46:14;uosmo;osmo1a8asd9ha5nyd85cmn8x65qdhyajkwcacul45melh8s9ud8cvkhss3x9v4k;gamm/pool/678;0;3118671929075484819;0;ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858
2023-03-24T13:46:14;uosmo;osmo1e2w0zxfqvyeefyjhcvuzv2ecrvltuwddyc2qau54nesz3p0mu9sq4dsvwg;gamm/pool/704;0;1149664099190496103;0;ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5
2023-03-24T13:46:15;uosmo;osmo1wpwl2m2kn9rnd40hhdn67hd2a2xql3jpnfhvwxtglvg5hga9tvcsp863sz;gamm/pool/1;0;115804364355216195704;0;ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2
2023-03-24T13:46:15;uosmo;osmo1a8asd9ha5nyd85cmn8x65qdhyajkwcacul45melh8s9ud8cvkhss3x9v4k;gamm/pool/678;0;3118671929075484819;0;ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858
2023-03-24T13:46:16;uosmo;osmo1e2w0zxfqvyeefyjhcvuzv2ecrvltuwddyc2qau54nesz3p0mu9sq4dsvwg;gamm/pool/704;0;1149664099190496103;0;ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5
2023-03-24T14:26:07;uosmo;osmo1wpwl2m2kn9rnd40hhdn67hd2a2xql3jpnfhvwxtglvg5hga9tvcsp863sz;gamm/pool/1;0;115804364355216195704;0;ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2
2023-03-24T14:26:07;uosmo;osmo1a8asd9ha5nyd85cmn8x65qdhyajkwcacul45melh8s9ud8cvkhss3x9v4k;gamm/pool/678;0;3118671929075484819;0;ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858
2023-03-24T14:26:08;uosmo;osmo1e2w0zxfqvyeefyjhcvuzv2ecrvltuwddyc2qau54nesz3p0mu9sq4dsvwg;gamm/pool/704;0;1149664099190496103;0;ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5
2023-03-24T14:26:36;uosmo;osmo1wpwl2m2kn9rnd40hhdn67hd2a2xql3jpnfhvwxtglvg5hga9tvcsp863sz;gamm/pool/1;0;115804364355216195704;0;ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2
2023-03-24T14:26:36;uosmo;osmo1a8asd9ha5nyd85cmn8x65qdhyajkwcacul45melh8s9ud8cvkhss3x9v4k;gamm/pool/678;0;3118671929075484819;0;ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858
2023-03-24T14:26:36;uosmo;osmo1e2w0zxfqvyeefyjhcvuzv2ecrvltuwddyc2qau54nesz3p0mu9sq4dsvwg;gamm/pool/704;0;1149664099190496103;0;ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5
